"???","????","??","???","?(%)"
"0","??","1175","1039","88.43"
"1","???","69","38","55.07"
"2","???","18","7","38.89"
"3","???","17","11","64.71"
"4","???","24","17","70.83"
"5","???","15","13","86.67"
"6","???","14","12","85.71"
"7","???","22","10","45.45"
"8","???","28","23","82.14"
"9","???","19","18","94.74"
"10","???","15","13","86.67"
"11","???","39","37","94.87"
"12","???","39","39","100.00"
"13","???","102","100","98.04"
"14","????","54","51","94.44"
"15","???","30","21","70.00"
"16","???","15","15","100.00"
"17","???","12","11","91.67"
"18","???","12","11","91.67"
"19","???","12","12","100.00"
"20","???","22","16","72.73"
"21","???","22","21","95.45"
"22","???","27","27","100.00"
"23","???","46","45","97.83"
"24","???","18","18","100.00"
"25","???","12","10","83.33"
"26","???","25","23","92.00"
"27","???","65","65","100.00"
"28","???","48","45","93.75"
"29","???","15","14","93.33"
"30","????","14","11","78.57"
"31","???","9","9","100.00"
"32","???","12","8","66.67"
"33","???","22","22","100.00"
"34","???","27","26","96.30"
"35","???","16","15","93.75"
"36","???","15","14","93.33"
"37","???","13","13","100.00"
"38","???","16","16","100.00"
"39","???","15","15","100.00"
"40","???","34","33","97.06"
"41","???","10","8","80.00"
"42","???","23","21","91.30"
"43","???","23","22","95.65"
"44","???","15","15","100.00"
"45","???","13","12","92.31"
"46","????","28","24","85.71"
"47","???","14","12","85.71"
